C1R,AK4,ATP1B1,SNHG14,TIMP2,ARPC4,OSMR,TK1,PYGL,ETNK2,FOXM1,SLC6A8,OLFM1,RPL36,TRIB3,ARF3,HBB,COL3A1,ZFP36L1,RACK1,IQSEC1,DLL3,VOPP1,RPS27,CDK2AP1,HLA.A,HLA.DRA,NACA,RPL37A,ADGRG1,NTRK3,TNFRSF12A,GFAP,CCNA2,LBH,SERINC1,TXLNB,DDR1,MCM2,AURKA,TYROBP,BCL9L,SCG3,CA12,RTN3,MELK,PFN2,POSTN,S100A10,KNSTRN,HEPACAM,TSPAN3,MT2A,PLTP,STEAP3,LIF,ACTB,MMP9,PPIB,GRIA4,UQCRH,FGFR3,GAP43,ATP1B3,STOM,LIMS1,FCER1G,SRGN,MYL12B,ANXA5,LAPTM4B,MT.ND5,CXCL2,FRMD6,ATP5MD,YWHAB,TSC22D1,CDC20,CLUH,JUN,TAGLN3,MYL12A,EMP3,AKAP12,GAS5,ANP32E,NDRG2,RPL7,KCNF1,APC,PLOD3,SLC39A14,NPDC1,GNG3,AHNAK,RPS20,APOLD1,MICALL2,TRIB2,APOD
C1R,-10.3282932669592,22.8879739288272,2.5235403803261,19.0986658387898,-0.737037108726836,5.08269239476391,1.87362685610948,-19.5347196504356,16.9499998759438,21.1509371599219,0.582323405762958,2.73722137029827,4.29885793854364,-7.87500571659762,6.55705739942961,-2.33572180441432,-24.6431513672044,11.3348079807964,-6.36787243047029,-18.4427667269585,7.41505940525791,3.47064319942909,-4.48783215805522,-12.6597667808826,5.70611845404389,-10.438261433913,4.40014131191304,1.77939636984344,2.75670769869082,-3.21478539218024,-2.62589809917362,2.68016737480271,-15.6869529677538,12.7150155256933,-16.6235310258191,12.7387401209879,15.5226919673437,-15.8090681726781,6.15015340754662,16.9374154574666,-19.0887414342751,-12.8239825422804,10.8739926158542,3.35510242509056,-13.6084168659221,-20.6302262562536,10.9520371794211,11.3436026858316,8.58887214148786,-3.22387524039409,16.8246589169052,17.6580422517035,1.16722261822312,-3.35983779690302,-3.57247005335357,5.28210693023249,2.07084537669269,-8.07523658954944,7.37108080627702,-4.25690120751759,-9.10223340160211,-17.3847981373633,0.512402920795191,1.62663100813769,3.21095436771599,6.4312381710965,31.0398378005161,-18.8111294442706,-2.16183846562368,-11.0182742465909,-3.25713073779375,1.8856791048429,-11.5566061970765,10.7606030138896,-3.05005918322843,-14.652318398567,-5.5655380088313,2.49437142502887,5.53178850889395,15.4538269727159,5.38486415804957,7.64041587107342,-21.0390583638293,-4.52599646608982,5.07747476799703,14.4298331326092,-9.53424192981856,27.1739162120631,-9.80319500541289,18.4072826772471,3.22912332697451,-3.10525237250886,1.94040835669118,-5.43647758875212,-9.52684983688208,10.1191845963232,27.5243394117769,5.08650816781611,3.54987321961042,-9.91114708704099
AK4,22.8879739288269,-23.9252632887356,-17.2073248951954,-38.1902320111265,41.5869452421637,2.6025307602454,4.35610872052063,57.6169332387259,-22.5640075531464,-40.1055057329695,-1.31677036040454,6.23155787491839,-11.6475924237891,10.1260627016251,-11.7070284908191,22.3542047777306,38.1640517748356,-34.7245936624521,6.28804208909516,15.3830962298902,-20.7703141340715,-12.5849661797305,16.4055285295554,29.8267237557707,-9.85285614481756,26.6383108264691,-26.3229643035594,4.96632507577649,-11.4594074631186,-2.00053154817775,10.5072279631695,-7.62890119848572,35.6846088089988,-19.5691457755902,37.6225223023952,-34.3822271866513,-19.2422815163265,27.0667498021659,-22.1518595605096,-39.2688814123795,26.0686310947532,23.7152209826272,-42.6157513931111,2.93870832667462,30.1535846912016,46.2197850399751,-17.7334133980548,-15.6259709514028,-10.4949888331216,-7.69553353731022,-19.6904837100561,-28.2187789047173,-17.1181309931264,15.2254479162205,1.3642663370438,-11.4890337209426,10.6415349382473,30.7777682561685,3.69984403295883,6.32522341556813,13.9289179566316,30.8139149262591,7.92414169907313,8.0671989582476,6.21406763044925,-28.3176354683319,-62.665986547827,27.4682593735433,-1.68310779320571,18.7984455596732,11.3064770897925,5.85377554145931,26.1622143303422,-23.9034000276069,-0.734779752955394,30.6183443645742,-3.77200101256076,-14.6370316559152,-2.85398150346934,-25.8931175968164,-13.1770954097457,-14.9465583330978,50.2411768499783,-0.281633281374836,-1.99051375400585,-30.6579424383732,18.447910597254,-56.9580645008536,41.1196052497121,-31.5812044774976,3.38580766703246,7.43148992612872,-8.88339626872511,8.81548237949103,15.0560533163241,-22.670997874047,-62.3060563897444,-10.3318645658864,-11.2125185279451,11.5478650260646
ATP1B1,2.52354038032586,-17.2073248951954,-25.7741121937393,-24.9286759612865,30.9246205133021,-1.93917619662782,-2.49888334093049,30.2290206060569,-15.3320383465685,-20.1076395392866,0.861617638868009,0.806275867215713,-13.5986482709317,7.92471968375663,-12.6101020971637,8.84228716861456,25.7339178158045,-18.7156129214275,-1.95117866222593,4.97871094976634,-13.9926645236947,-6.94454788327254,11.4631260651772,22.2604152414819,-3.28159265276683,14.5411244337174,-17.3949053449321,2.08338885701718,-11.2952130402471,-0.114656234592667,13.2161154638637,-12.7927226818112,26.6988467033565,-4.47708697737061,19.7825364442429,-21.3281522414037,-5.99179361095415,12.6812261151833,-16.8307604520826,-25.3434995300313,17.6521442662155,2.91900746429558,-32.2199580498263,1.11412022612927,27.6172299299373,25.7188516759973,-10.21174124793,-14.4974954920892,-0.223925099115872,-15.4293997597951,-7.69860470822347,-19.8942553543713,-6.67222809779098,8.79431017396632,-4.7176190875517,-7.49798726495048,9.00952311574903,18.1035569230883,4.58123857726018,-2.52148967552225,1.04084167806195,17.3924047284882,6.11426704926279,8.04212248760956,3.72489400050857,-16.2601420709495,-43.03318899126,17.7469418650726,0.346973773838554,11.0897953337646,12.2268631215838,8.83208345462292,13.3339150095937,-6.89575577807308,-2.18035060494927,15.2582065491192,-4.39702695965095,-16.8051078914408,1.79635933167539,-13.8285212849068,-16.0219425256694,-11.9230095684819,28.2377531363145,4.84432487116502,7.29852733174896,-23.1452228823641,7.77989094001941,-32.8484434105087,24.6475667056917,-17.3739579163231,15.7886450663888,10.6240490088204,-8.37778278050883,3.8412917583245,14.0423625247933,-7.74426309995355,-37.5447560608111,-10.1920877561411,-7.15050133914775,6.04946594238946
SNHG14,19.0986658387897,-38.1902320111267,-24.9286759612867,-44.2517711302738,27.432582998318,-3.97041861007198,-2.43510615824109,48.0115263150215,-27.9309956772146,-40.5674667733465,2.97020063493806,-0.441136606539179,-9.02322631409634,13.7664081500522,-18.3999529226501,11.4314702129852,48.0205238668706,-30.9316781064434,4.04497839659479,27.7369185511443,-20.4849297795577,-9.39873877589612,18.2641639532807,33.1689799644081,-12.5969948097564,29.7881057676968,-16.1254254315824,2.72665832217552,-12.0298231233489,0.295229862185863,9.88595343272273,-9.28757466515746,36.7692763760872,-17.2733821429425,33.6609568183016,-32.3476332425309,-21.2694457688703,29.7241747368935,-20.3040609362317,-40.5324460154987,33.8051378779964,20.5740681855805,-44.1828538370883,-2.3586974516383,36.678301554741,43.7767970848282,-20.6184073222532,-26.1815204161038,-9.61768099402468,-10.5759801420409,-20.3074360144596,-39.766381120016,-12.8771002458909,11.8562038875807,1.37064730278817,-13.0240646503984,2.29327176259526,29.8749625573347,0.774080933528709,2.19063646070883,13.22258619206,34.7370607331747,5.47027921261907,7.33917084375688,0.162003747940176,-21.5097886577507,-70.2937000848937,38.8175478696336,3.04862603051953,23.1176564514933,14.1994434973054,0.852311507801394,28.0128841350581,-20.8990521959077,-1.35173428390992,30.0779105089426,-2.54417395239685,-19.7852518302094,-3.46799383709548,-25.7651980596919,-18.7991336287141,-16.7758164600485,49.282687901337,6.45899199857478,0.039899767792199,-33.7730114822895,20.1671934760473,-56.1113235805849,29.1242035502034,-31.005467118796,1.3035445070297,8.44855726393789,-10.8544729006766,10.4844919912522,21.9643325071418,-17.4571703370857,-63.9055147495857,-8.86875099078944,-8.03591861415251,14.5787446612692
TIMP2,-0.737037108726777,41.586945242164,30.9246205133024,27.4325829983181,-17.8196309209754,9.56561812326318,10.1036586827514,-22.5474207832283,30.2670633390972,30.6098021068299,-0.63129078298503,8.57363422651464,12.5974590674641,-11.5653970416678,17.9055144108855,-0.397999760395977,-35.662465077279,20.4827452404574,0.263981120512176,-15.4217013839905,18.0063558939187,11.4018384710886,-9.36938428272641,-28.4613147740306,7.94703098605807,-20.4247003078207,11.8088317187358,3.81724845895673,9.23090477096492,-3.26108196390914,-13.8818456187755,16.5476275285851,-34.1708961747506,10.5570624541504,-22.7295096285809,23.1876814078787,15.8490148892729,-18.2818673393192,18.7887208990587,28.18321595487,-31.003575970071,-4.04937642586934,30.6382565242168,7.23719977953781,-39.5127838266202,-31.1907026851672,13.5857023352023,20.7923092332687,-2.93477433785482,15.4247163160631,15.9415893696092,33.1636727639712,-2.51851898454644,-9.54000356648346,1.416872761584,13.1785044915303,0.940891177399743,-16.849873890852,-1.36917410116362,0.217077711334013,-9.31832178513969,-19.0276933096477,-0.492846916003569,-7.83263506162723,2.36927013783061,13.5383173008587,63.0909564452536,-32.1541136384756,-1.33049940388079,-17.2332249998509,-15.2682570444885,-2.69593475766062,-17.7958943817531,4.908999736127,-0.29396386822419,-20.0302856285174,-2.46005870453269,16.7172425491478,1.88858890957141,19.2968200561399,21.951986144253,11.7691414985814,-35.8185071048781,-12.4650137456974,-5.1810846312832,30.1917924181773,-14.2484365786321,37.9863973998316,-13.0109000195579,24.520009925361,-17.535157887874,-9.10835844086805,9.35043676004971,-4.87042686904773,-20.6659196058547,8.97541576200129,46.8788900622841,12.8415912229471,7.13509028196743,-4.7325553033617
ARPC4,5.0826923947639,2.60253076024549,-1.93917619662785,-3.97041861007187,9.56561812326314,5.0298317953747,2.56372800551724,6.46987518296633,2.59579941661746,-4.91768564685233,-1.41780047354157,1.6804589325154,-0.187677016427334,1.57230099978417,-0.274397383752011,5.54029033405331,3.8486291885774,-7.17340910014156,1.0722581181257,3.05743396830187,-6.63071840535365,-1.14016903663947,3.10183564998014,2.16432947744671,-1.22424121818137,4.53674998433633,-2.00978798640188,1.68928274313939,-2.81206044333441,-2.54724549960785,1.01263014104211,1.81517732429253,-0.467716355023768,-1.74620598849924,6.09352962458626,-2.71188431053122,-1.58561510157716,2.67213608200357,-1.18720585176663,-5.72491631296684,0.387740617557646,3.63496430107467,-3.24590317738437,1.54115672089985,0.486173916501728,5.10673186732723,-1.73365666524153,-2.08063492576803,-5.1637065285736,1.87794368184325,-2.34088053909342,-6.79056915752782,-4.03748179696447,4.08857311692865,1.94629252653422,0.561738194709149,1.8173787050065,3.28762562525723,3.28945096016573,1.59036629544917,0.0289288834768745,5.96883859030421,0.308658358103578,-1.28092213167022,2.79916902004787,-1.10813942463475,-2.92283611158746,3.52733502982154,0.18614783401789,4.03545777939942,2.68420816513042,1.10702667631748,2.71623631651008,-4.48986549656621,1.54934970185471,4.55717723040513,-2.63596992032935,-3.66183027549634,-0.926063315464285,-2.60889416780976,-0.856045775063513,-0.534271120250495,1.47879293990985,-4.1818129112043,0.439312869249655,-1.55966350516891,1.35338060625742,-8.15797076768676,5.58232072909897,-1.980558985082,-5.36207396838121,-1.75603699962385,-0.890457778518962,4.22943813152063,1.34122255119175,-2.33583714962483,-9.78284943730621,2.13009023989477,-4.17507527658431,-0.0659718410417098
OSMR,1.87362685610948,4.35610872052077,-2.49888334093043,-2.43510615824098,10.1036586827515,2.56372800551725,2.92029569305716,9.06482868108076,1.84101751727192,-2.7105595854144,-2.21071147478334,4.08283758913428,-3.57087312498209,-1.02980773158365,0.291887938469209,6.38621303233234,0.548083932774755,-3.5825566109826,-1.18859280754548,-3.59684121570894,-0.419656378430568,-1.90900238975277,2.35983992289172,1.22718569335734,1.1190114758696,0.331735030083745,-5.88986778594212,0.0125313233129392,-1.4162990795972,-2.06855210844934,-0.247194821599598,1.0161084054508,4.62660498692421,-1.47016482757973,5.43076740349499,-3.11944538307113,3.65325098243027,-0.559741408428363,-2.70035043249238,-3.07620428946614,-1.3685202444864,0.255096566982162,-4.66414867264312,3.34047924892128,3.69442780332297,3.51749061071463,0.706834820831864,0.581158085699231,-0.878339149309601,0.310215811110421,0.498635550592303,1.5460038667679,-2.5442919893541,0.749283015200784,0.671891493220177,0.370426956898802,5.90249496984674,1.53209127110537,1.51620240890895,0.348346225012339,-1.2630839455124,0.452301556576207,3.60172903164132,0.772550220224338,4.23263955686252,-5.72744610118229,-2.42707312662972,-3.13816987901786,-0.187921057176972,0.386510714588001,1.23615264934839,2.42376429870367,1.14505273593489,-1.42317962047483,-2.26469965049479,0.123195576686351,-2.4178130548079,-2.78640906085326,0.630289928801195,-1.10026407227706,0.689517166085666,-1.65848537275095,1.85557682847496,-2.07922493028134,2.20897481354416,-2.51958091696925,-2.22027156129165,-3.97498664657513,6.41383672357038,-1.12025379322674,3.67563558927316,2.16287106916438,-1.93333577659768,-1.00539659366744,-0.124674558709646,-3.2687375071847,-3.88833960486096,-0.697325236445102,-3.17740165619942,0.206817980111718
TK1,-19.5347196504353,57.6169332387261,30.2290206060572,48.0115263150214,-22.5474207832283,6.46987518296643,9.06482868108082,-46.2519309107783,39.7462235659914,50.0347010397058,-3.24425149999625,7.75407176926394,11.258596585565,-18.2730405647158,21.7576813617544,-5.60315484336887,-58.7277377519916,29.7158805758489,-6.9994890275298,-38.1822673385715,29.0970084247602,9.74955400922411,-15.9684511653993,-37.6735616997576,15.4041796165692,-32.1139916219358,15.5159308886641,-2.54216002349119,15.8144519938869,-3.95127685641804,-15.2329391224836,13.3840797859411,-41.4500641320565,20.4736006876097,-37.7578397487023,36.2148561996296,30.7725519397049,-33.6883767187767,22.8868779383116,40.5286650087406,-44.9370385595406,-23.6256329569834,43.1886932567432,4.45995082708838,-48.221494574013,-49.2988076423865,23.9148876817616,33.2692282331549,12.2449857741908,9.25904570092864,32.578395546733,48.3413185363145,9.29103261199648,-11.5924002912043,1.32735349149352,12.9567523414794,0.968373220741717,-28.7481168647279,1.43685292316116,-5.80129419882617,-17.3739303336001,-42.0426562749244,-1.05754949509202,-1.94082381737423,5.73696447652055,15.0425532408421,85.2042970723237,-45.7600488334411,-1.57043669955483,-28.5830797469712,-18.2938400523026,-2.01066623768682,-27.8051772914553,22.0132473741829,-8.39777101684966,-35.8658254419739,-4.60588355592951,20.8491655216831,10.2298257507105,32.2614955907147,23.8948610873073,18.451200154774,-53.218349426384,-11.1428827771111,2.77185689444907,38.4731903900285,-23.8406365797763,68.0857697918201,-27.6404969440834,39.9144629391018,-5.4546018692092,-11.7319827012893,10.27910093164,-11.0672662817298,-26.5028806811354,18.4303359532013,71.2566877923535,14.18540335684,12.046394359894,-19.8366604700206
PYGL,16.9499998759436,-22.5640075531465,-15.3320383465685,-27.9309956772144,30.2670633390969,2.59579941661743,1.84101751727185,39.7462235659911,-18.4773772374895,-33.3675174129291,-3.10818548692997,4.5118274809791,-9.99217277369562,13.2218926613151,-9.26395338608517,17.6008712349836,28.5538880015159,-23.9981782368768,1.08851164988818,13.5559819000704,-19.5960726976411,-10.7170977339229,10.0328745391032,23.7419261538249,-6.95232758793721,20.8924104345469,-18.8258385754503,0.25104561448178,-10.3974335669564,-2.52129258286573,9.42186444767595,-2.06628082446198,25.5536551806472,-13.9313241739194,30.5424299277011,-23.1045192889723,-14.7960726641522,19.1503240582794,-15.6532491775665,-31.4549841328248,20.3274122314195,14.4906479377637,-29.7492174743433,1.17895058950834,24.5527618243567,33.791672501723,-13.3292890788058,-13.6735550464501,-9.1291311095012,-4.24468354104242,-17.6827287857242,-22.7603210754674,-8.25541060408222,12.8286423151328,2.21214868074859,-10.6537360948621,7.45168674961003,19.7318783662205,4.00748862998747,6.02533743147701,10.6233067817142,21.2106708745699,2.24059875116648,2.23113160733809,7.7168675370597,-15.1255094467967,-48.4478692543733,21.0868551986558,-1.62253660608315,16.0751281330912,11.7347151601811,5.07040002491396,17.5886410646697,-16.9900531821632,0.0591522131304353,24.4450478475488,1.03091766691552,-13.596710372919,-5.25636491954715,-18.8809905034545,-9.50738164965316,-9.89139855644194,36.7480313544376,1.41242666097617,-0.964460611386648,-25.7437770024648,13.6100248000288,-40.5753989439711,25.7741291036728,-25.3191349540595,2.60566060958013,4.79759796006262,-4.47974141445188,8.60724822557983,11.5892885484596,-15.2043102676269,-47.8350139574521,-5.81930884934693,-10.4548479870433,6.49706335804959
ETNK2,21.1509371599218,-40.1055057329697,-20.107639539287,-40.5674667733465,30.60980210683,-4.91768564685227,-2.71055958541447,50.0347010397059,-33.3675174129295,-42.009549658611,-0.591463400183587,3.9815433024499,-6.85071313938083,12.893718992165,-12.6344859123127,17.1340299966982,44.9135911285115,-32.1395447555196,12.8030821839727,24.4871056824844,-22.5570722845986,-8.70913976263373,13.8708418004276,29.9665717829225,-9.66568211207789,24.0258742925221,-21.4002675491758,3.07415400070745,-11.5968879746925,1.68188264169575,14.0271772845393,-8.454602271688,33.6213813559736,-20.1718869409722,35.809923239895,-33.3306884787981,-26.2929419060466,30.1841760000722,-22.48609682886,-42.1132184694728,37.9454203703089,26.3894837216189,-39.6662047718893,-2.24489483901998,29.7762105373534,40.5374585869864,-22.2100377691999,-17.9754542161263,-9.45811671990965,-5.24175052151885,-26.1272772507186,-35.3615439601087,-13.5976080529354,13.4937097497468,-3.39432151679452,-12.7598854942625,4.05104195300055,29.3790875253049,-3.08504697784405,13.1475117164418,14.0180591355734,36.2387762254132,3.95863541605825,5.30455552952999,0.84730747496842,-20.1098440498005,-63.468941425121,36.5951017599075,0.256280458265762,21.9217307689447,11.879475219339,5.70409446394143,25.1501725483259,-24.7984105304394,3.36817933197487,35.3343622694516,-0.326986706419769,-16.8894599833865,-7.65276962361472,-25.8754578476235,-14.8198702595048,-14.8517781249042,51.1311303655112,4.96100440736091,-2.38518780444403,-34.3897668333697,19.9794406097906,-56.926802119724,35.4781648390144,-33.812973279736,5.13515150081101,7.39042814925017,-5.57031529039308,6.62169029361379,15.1136444133361,-19.9031662681665,-62.586095381397,-12.4438495352989,-9.56853044562768,13.9990716335392
