C1R,AK4,ATP1B1,SNHG14,TIMP2,ARPC4,OSMR,TK1,PYGL,ETNK2,FOXM1,SLC6A8,OLFM1,RPL36,TRIB3,ARF3,HBB,COL3A1,ZFP36L1,RACK1,IQSEC1,DLL3,VOPP1,RPS27,CDK2AP1,HLA.A,HLA.DRA,NACA,RPL37A,ADGRG1,NTRK3,TNFRSF12A,GFAP,CCNA2,LBH,SERINC1,TXLNB,DDR1,MCM2,AURKA,TYROBP,BCL9L,SCG3,CA12,RTN3,MELK,PFN2,POSTN,S100A10,KNSTRN,HEPACAM,TSPAN3,MT2A,PLTP,STEAP3,LIF,ACTB,MMP9,PPIB,GRIA4,UQCRH,FGFR3,GAP43,ATP1B3,STOM,LIMS1,FCER1G,SRGN,MYL12B,ANXA5,LAPTM4B,MT.ND5,CXCL2,FRMD6,ATP5MD,YWHAB,TSC22D1,CDC20,CLUH,JUN,TAGLN3,MYL12A,EMP3,AKAP12,GAS5,ANP32E,NDRG2,RPL7,KCNF1,APC,PLOD3,SLC39A14,NPDC1,GNG3,AHNAK,RPS20,APOLD1,MICALL2,TRIB2,APOD
C1R,-63.0312872516903,31.1381756252934,-24.3487409623872,-8.01146125751027,8.44760254429458,22.7006015805339,-1.78804809110039,-0.989458365619292,15.0333406049587,21.2047475847878,1.09862399592191,13.8414195578792,37.5603937696862,-9.20899332284292,7.24875354848716,-22.6125670880538,-14.4021041502306,30.8724898672998,9.82420898507991,-9.52679804277919,-61.0626485290958,-43.6767487632955,5.90629877691084,27.7995935626096,-25.9966770047151,-32.6766016184591,21.4233869865525,-17.1174761455542,8.42950720744518,20.8097634403791,24.2760355913149,-22.6976824761533,55.3993044235974,7.31618026149861,10.4779748669094,16.1652961503904,-16.771199159258,-1.72585942508768,-10.9043692484218,24.7856417569123,30.471260861409,-17.5037282591881,13.4041416271844,2.83871752248708,-0.118491457883095,-12.929679153298,21.4488725166895,-28.5715542486146,30.9918017108588,11.3754221437488,14.867324086319,-39.5907903579713,37.165418466657,4.83464716180432,-16.8376709567595,-2.03318981124465,-6.87112828437217,-5.65190361959726,3.23093643687705,-30.406687975696,27.2488759312626,-0.392209085316633,18.1912835898942,-20.4157973038893,-1.21696291794459,-2.66719923435926,-3.90041884756965,-31.8764195366841,32.4961275381621,-6.34210013440655,30.7530866497414,4.70375110471167,26.2037593943211,34.4681072765037,2.38952328214155,-6.45876442475887,7.1669202027109,22.6633697738249,-12.821143644813,15.0168999222171,6.40433460076063,-12.1835826630239,18.2127132313478,-19.0673913046557,17.271511039289,26.8131574278477,-12.7511701146853,-25.0967968173237,-0.409564806721212,31.2475620637949,-15.5088658463675,-34.7000686119952,-17.3585986465966,35.071979047224,15.1317515498192,36.6785221825925,-26.5707576281089,28.0972260791176,7.54938975545745,11.0284721911382
AK4,31.1381756252936,-26.1256785911196,15.8375105322966,5.56759372756182,-3.22579112897693,-0.265642377332153,-0.828198881986473,-12.620076256288,-14.598495175909,-12.7384808425351,-13.5878525788196,-5.04009332670404,-27.7324563137902,8.46952959041339,-11.2667746505927,12.3450486534989,5.58862552913653,-21.4075939053652,0.215870960217506,11.7248834421533,29.0582059459284,12.1269686967428,-1.63078455565559,-13.8806849926186,18.9879284002632,18.0101012975973,-5.57429338998748,-2.2245041175542,-10.8925902368301,-9.90250731303228,-6.80944105160836,16.3494540470152,-15.4482441252532,-6.24574121125365,-14.2748229015257,-9.48500064986358,4.1023150668568,1.63139933189448,11.2834733250852,-14.0362813367431,-14.526537686198,9.79115520801297,-9.51584573041864,-2.18383615384371,4.38349878602516,10.2347611282561,-3.92986813055779,11.0858076743847,-21.8407529639228,-14.3386694854716,-4.62791229158652,20.3644654717384,-22.1857503280618,3.67140552693232,0.870885341169961,-3.57554870973504,-0.6315503154654,6.2150756433225,-1.7374503334606,9.97051835151266,-15.3137419369136,4.37467758266978,-12.9224109116985,9.56729334444399,-10.0570318956845,3.22109202865108,2.23833598585555,15.7929253545658,-19.8570610168006,-1.75875832628998,-21.7315387166531,-3.76003910769409,-9.14134329227496,-18.4995463801739,-1.85071310190368,1.51706175794844,-7.63978684063938,-0.257195463745165,5.36268462380082,-6.75378899890832,-6.97924247367099,6.52024607402679,-7.30431541758654,-4.90277287055377,-8.51424007076332,-13.0067739828756,10.2449271048866,13.4388048697118,-15.8439375974489,-17.3925217497452,10.7148042947842,22.0818377304602,23.6020808932706,-18.1765272238648,-13.6393523225748,-19.6973491453597,12.9439894657071,-15.4429707162901,2.12424942729651,-8.1079655867352
ATP1B1,-24.3487409623872,15.8375105322966,-10.8468473538062,-0.976025868430403,2.85275649967025,3.19758176515666,-1.54588760276622,3.25114735815477,7.05485085817744,10.1264709615939,1.5895523344578,4.73972935768549,21.23299667753,-6.28994639254849,4.18525229746846,-9.90602318544663,-5.32123190127986,14.4879694285756,4.21155740402645,-6.06169448065114,-27.5993211388247,-17.2469040958089,0.561309776760756,8.68678028970335,-12.4972097451354,-13.1638438988076,5.8256360028271,-8.15307029001113,3.53101149032181,9.3280262304854,10.8716397823052,-12.9478213396103,17.1425723855526,3.65515124431216,11.602981960873,6.71581536344859,-3.5137105877597,-1.72482628494919,-6.81667441063069,12.8053675880426,13.0329689816819,-10.3361896897102,7.10194297269525,1.67228050560884,-1.15011385503558,-3.50643313340409,6.7649498955006,-10.2794885084084,12.9072008033136,7.88494395760182,7.19188970760553,-15.6819783657498,14.5573784902549,-3.29896707003452,-2.04012552435928,3.84581669169162,-0.844807663261496,-1.9183655839378,-0.576546730059045,-8.93040681251594,13.251801160706,-3.61207129564728,9.49485315401589,-8.26695531419962,1.14697994540896,-0.855596709596502,-0.967172685170698,-12.2868161849115,13.7398519312107,-2.89187925440013,12.4337773696175,2.32904758565963,9.22747658574095,16.2222639328661,1.0972948369587,-2.83190674752097,2.89695081769675,7.78662199975258,-7.84632295018702,2.43803030004249,6.07069144853776,-6.01844918186616,8.09871079086083,-4.33868494490062,10.3517752439467,6.27430560910835,-5.91561537430243,-14.2417940606351,6.18436633931241,15.2517137158453,-7.58808768399992,-16.4996173373361,-13.5230431091549,12.3538349770091,7.55794452665735,20.7268632677044,-6.95362712440309,11.8462274650425,0.289046532733812,5.5296317683812
SNHG14,-8.01146125751022,5.56759372756179,-0.976025868430386,0.187458150607934,2.00020616953481,-1.1239774778471,0.831506539909873,6.09856592743353,8.71484509373115,0.597209006385385,11.0485236264865,-2.4710938812822,4.97657792165128,-2.15452977947703,1.06034001977224,-1.50577866005143,-0.590993119806536,5.55259639290299,1.82074709180931,-1.62167827543721,-4.95463918908489,-1.10357897163438,-0.968412600064947,-0.327980434011192,-5.81667106407175,-2.72481502483191,-1.07002677099705,2.81920187495071,2.62691213100455,3.28915360649963,-0.85722887525395,-5.92108876477409,0.110690441133921,-0.495771751525907,8.15915812406743,3.59860779730463,1.23976346166024,-0.807349954415506,-2.99816474196115,2.12678134621016,2.57183026393967,-0.972684033063767,1.05745483541809,3.74736323910655,-1.98213664292518,-4.03040174550209,2.49121789882048,1.91950401259093,6.27927262987693,5.37515119409522,-0.490487247249232,-3.61446808293379,7.78888056150593,-0.886178619944905,-1.20388352736781,0.155820679431748,0.0403100714461536,3.30411014174144,-1.09662565046071,-2.88587584403206,1.21639493352774,-0.706657246743332,4.81608932690321,-0.349845970926569,2.16146170184206,-0.501723055856246,0.819193347116582,-0.71544440376623,7.30202023984335,-2.07450331259953,6.33366305732176,2.95580596854315,-0.709061193089244,-0.173802395921875,0.291638242366008,0.806159797853137,3.36564341689207,-4.63099335185642,-4.7621104873168,-3.42855285163624,2.35312061278035,-1.51702943431816,3.12791680674305,2.04508708671707,4.32253119284137,0.842636160613402,1.59213868556077,-0.381413116038637,4.89758097894888,1.53697966628608,-5.61868686704345,-4.98870826342898,-8.54400408294453,0.342028832583184,4.42771890390268,7.66423256017537,-0.553419924823946,0.288482547435095,1.83060358084957,4.75353909048284
TIMP2,8.44760254429463,-3.22579112897687,2.85275649967024,2.00020616953484,-1.70061030280163,-1.10735781828177,-1.47177740700554,-2.17706035235165,-5.53949394841239,-1.51667872214888,-1.13867514707487,1.626754088858,-4.4627797547859,-1.44420391221916,-2.46073176608291,2.99901474964471,1.98900948894498,-5.64624800056393,-2.44262549362305,0.333816751572765,7.81384395970736,4.18862264799749,0.485704154344905,-4.23483826941134,0.752563457677408,4.53846285324397,-1.91092108486424,0.136222643876044,-0.72367913570626,-0.530702509923177,-0.682192669327529,2.56219853321729,-5.79282818204648,-0.640706788590943,-2.06988095775146,-2.92950752534256,1.71444699593783,-1.40654447841524,3.48813492349266,-3.44383602632889,-3.16861690960543,-0.109766531609031,-2.18111184914059,-1.44538929044766,-1.30057525044843,4.65122836753861,-2.25756039101664,2.30585659858091,-6.65682777313462,3.63722410195302,-1.15279670052216,4.97540408432959,-6.62655301739123,0.309791964693623,2.95238673685513,1.02601651822463,-0.0600405123456525,1.29744800445174,1.9213152849694,2.58701618240143,-2.31119934484214,-0.0196340698101557,-2.2204563510525,2.08988460023525,-0.773727515617843,-0.793953936742173,2.31608990558645,3.61922840313519,-5.56610096205537,0.713557004672474,-1.25416569599817,-0.344495502960778,-2.72910945601348,-3.84852060243994,1.24634048819278,0.140810256139105,0.768349164014472,2.58692118369944,-0.361132491684828,-1.79014408319427,-0.0936120467906141,3.29855914947102,-0.559777850855531,-1.09262688295239,-2.7284382885186,-4.43405722615971,-2.5093075468635,1.86195527217953,-0.0483174843382833,-2.55324706826982,2.48179843639737,3.33579256438277,1.29835023000978,-3.77236620811092,-0.792706749383721,-1.50402957182979,2.7797412786398,-6.71191678645511,-1.43171314725703,-2.96236645978208
ARPC4,22.7006015805341,-0.265642377332255,3.19758176515676,-1.12397747784705,-1.10735781828182,-13.0436714784624,-0.949325497942573,5.33316737280862,0.786590606096379,-5.495768681893,14.2044169046711,-4.05644114256795,-14.8177346117395,1.88617223386238,7.22869757716345,3.01206545175077,4.8109847962345,-4.73244768044443,-7.76477135714265,0.867109841407147,18.0627950732915,14.224565398345,-0.0821893463872147,-1.79224963324953,7.86328946266667,5.8768337465647,-2.50250053739979,10.4082649857873,1.65054661111621,-6.88243739590381,-12.2188132089249,1.11354478215626,-16.5454372156249,-0.282695765061912,4.92331763464822,1.42480663324283,0.897094718527209,0.953639177218779,-2.68642770129706,-4.20340758540461,-8.85695138437266,9.76612402264599,-4.30134587438428,2.50994360553949,-4.43914794133104,0.0362614697380185,-9.69413180476751,9.25468890272961,1.63060007358225,9.14431262044028,-7.03455427525062,4.55386476411047,-1.11795786532119,3.20263027565793,6.8820052691014,1.09908930515097,4.10208914038607,-4.54177513896061,4.42218087349208,10.4688790716928,-9.31102563197724,-1.64832997933917,-0.434220547585805,1.85154530811207,4.53643503858784,0.733735118559342,-3.53808876892811,3.48019282137129,1.71533775975508,8.47630950512991,2.29887011211405,3.48388730620735,-7.79039092272608,-7.75560579525726,2.55990346889833,1.92856618488252,-0.862234180571594,-9.52554560308452,13.7525634876357,-2.04360350664748,3.9616012421896,1.86123506779454,-9.11144615440452,10.8925899423207,-9.72424889295782,-2.58138282050655,0.390987396251051,6.19725370388639,10.7568050468071,-1.89676509665623,4.66165474748369,6.00116134856321,0.54893092798592,-7.74960117265118,-4.67462607932035,-13.7910770920066,-1.04032201371911,-4.37262234358546,-3.6917013504628,-0.979114567843616
OSMR,-1.7880480911004,-0.828198881986472,-1.54588760276623,0.831506539909849,-1.47177740700553,-0.949325497942551,0.906238085374597,1.7875098903257,-2.13024766318157,0.716897575190979,-3.55203141590484,-0.543237009200104,-2.52481647905233,1.52203872967807,0.650534789589993,1.42707540840498,0.791762524159432,-0.00533306511596558,0.209316726127628,0.308214231750644,-2.3667765294313,-0.107070616662214,-0.0726065550310767,1.67778618180496,-1.39279238283639,-2.25345305123775,-0.578696879138535,-0.732498709953331,1.32392095957296,1.4104464694148,0.00825473721289928,0.786638947937113,-0.682404288310626,-0.349069584714847,0.784195939039939,0.045604994396746,-1.79055299665551,1.70095190146846,0.429462321755939,1.73388367136706,0.222842588826742,-1.39735333826351,1.65187591892918,-1.37215574738213,-0.39676393065213,-2.79818902967761,0.472719220416361,-1.11711463481303,1.70769038349497,1.40024382917974,1.47453316110744,-0.601512517798227,-1.22232511321074,-2.10116053957003,2.1023065921753,-1.15597090066302,1.2867846729216,-2.40357146918239,-0.336976599550722,-0.0870615867547224,0.811858421678666,-1.30777392731653,-0.09323420350263,1.13189717835033,-0.951368827453667,3.13729241769689,0.0291317499822699,0.0657939554629425,1.56714876980172,-0.706669900657335,-1.70731242026958,0.0386307455245946,1.25130752924904,1.91584049836643,-1.30300685767992,-1.08858850042497,-2.02252960004783,0.0136449094780321,0.11637816659101,1.63532758724028,-1.9502433294078,0.465800193907337,-1.73514550491415,0.643079512096278,0.883734643717702,0.24225335427548,0.242112157148205,-1.5667319756136,0.109154178855581,0.047576713624514,1.4311018439617,1.46641982709131,-1.50206295725727,2.67270949146237,-2.11429373551345,0.72750662436286,-0.00312560562674629,2.92964881524481,-1.95920375637925,-0.475826705043255
TK1,-0.989458365619566,-12.6200762562879,3.25114735815467,6.09856592743349,-2.17706035235163,5.3331673728087,1.78750989032571,-3.56508670592372,-7.02329593254791,-3.9549928386015,-14.2256753334881,-2.96752386459285,-5.28527721985789,5.06418592423271,-13.605905667015,5.78916664919346,2.65002779937144,-4.43636483278127,5.35381184111276,2.28278018621127,-0.72512936186501,-1.32883485832898,-4.00107153049652,-3.66081384583948,-0.67969860312468,-0.107747397437876,-4.99854032289028,-3.99431902176935,-4.7153359130089,-3.34655712071725,4.37032130417884,11.3744890493294,0.425841616150666,-4.14790606095141,-8.94851987104899,-10.729494684129,3.54764960895317,2.24027376417152,5.3211861371692,-5.24652486530862,-3.61137662034939,-2.8074880438247,2.84665455119534,-4.70400749020125,1.80164241601308,1.84628919404915,0.927015297805431,2.29972942853663,-9.28546266592108,-16.1202934364245,0.844102354610642,7.36008854516064,-8.82289091749858,-6.59818616804949,-2.21367699508478,-2.87720640931218,0.204566283917513,4.80025794221338,-9.16950618149208,0.768831621027961,-0.0303147331663581,3.16484615940981,-6.48349740350156,5.54502451077453,-4.91278763148596,3.42465479330324,1.54167420802712,8.52195109034402,-11.5661042550021,-6.35211415804746,-13.8312070607985,-4.51357484368136,4.17401794316144,-6.82395418370012,-2.99882894625936,-0.811294923839601,-5.03898099584672,1.85121560813386,-6.60309498229767,-0.191098682236488,-5.3230700890929,3.78478044090714,0.138177252381838,-4.66140746110055,1.36338429178151,-4.33147449174438,6.59654216631603,2.07539262256697,-12.8944338175,-12.4076739816974,0.501888117983297,7.94323007633416,6.41331003340308,-0.758611923108264,-8.29673260538438,-2.16870430840227,7.25257319039378,-0.0990343527730069,0.0611975598471726,-1.55999922365165
PYGL,15.0333406049585,-14.598495175909,7.05485085817735,8.71484509373117,-5.53949394841238,0.786590606096445,-2.13024766318155,-7.02329593254793,-6.93710222310634,-7.01527076417153,-10.353249386574,-5.59453833704739,-13.8708660248023,7.58629820979284,-8.47155632489241,10.1081229982961,7.47695933274309,-9.93478212074178,0.675189132157251,5.06379333875379,12.5089502051691,6.28742110282012,-0.926736490939569,-8.51859948462689,10.4251835420614,6.69394988581185,-2.36227254482418,-5.9979623184133,-7.98990633796352,-5.06520383189007,-0.621112892465888,9.58637603758425,-9.28778292563712,-3.70801146286867,-4.76620603036508,-6.35913928243437,2.46664911730578,1.82123116805537,5.19949554964486,-6.27133676090632,-8.11699624775323,4.62091519927383,-2.62370196030096,-2.60727550040078,2.2407750631856,7.8170713726327,-1.15846065436524,7.91879988226214,-10.0847773438967,-13.5223386880511,-2.77601060577694,13.6474671373726,-11.1147425671902,0.931159144038752,-4.59776447428466,-0.919845822401759,0.421021639276805,5.05779828730474,-3.52409241330852,7.81386205406019,-6.85548305062973,2.64883930479524,-7.41503671788062,5.37720115619333,-9.21588266470045,1.73322370501006,0.138828125516072,11.7321804908949,-10.6520766346791,-4.45599730465996,-15.9761908739017,-3.30342407361078,-1.90964176994466,-9.51372047170903,-3.96142210581235,-1.6294243952576,-2.88443075769814,-1.28775790147064,3.82260994475807,-3.57817048213359,0.778429903288329,2.73442861890483,-2.89901154026423,-6.77081982918179,-3.58522393777096,-5.25006458136618,6.3343725799989,5.78747072692174,-12.0748462952166,-13.2598209670492,1.71239879451168,12.1373813383729,12.5835911301579,-10.05550269004,-10.8363259212308,-8.87096717358046,8.2193079027267,-5.7701209984986,0.413330279379123,-0.60506401734916
ETNK2,21.2047475847878,-12.7384808425352,10.1264709615939,0.597209006385439,-1.51667872214886,-5.49576868189295,0.716897575190986,-3.95499283860157,-7.01527076417158,-8.00169164838728,1.31181235777639,-4.47577268243284,-18.6344269008923,1.9538298816923,-1.72351035383272,4.34903789218846,1.59104942711735,-11.4615293421027,-1.77749397759002,6.66712526061602,22.479810023279,14.5529809656075,-0.88443404770026,-6.09803872231502,13.6665714670597,11.4634606624078,-2.9693342488028,4.43449998227889,-3.83414988074129,-7.60397232300258,-6.41608748242549,7.74823616344364,-13.9621986718686,-3.79016821276147,-7.158120068535,-4.98378150786653,4.02539609162768,0.965143171349648,6.69553762652877,-7.65277624254882,-10.1448770168824,8.80856031416065,-4.59740177078384,-0.567163836440685,-0.775566063193414,5.14195791036301,-6.26176479327697,6.8141873692778,-12.3547530878011,-7.22556283800196,-2.98174654001327,14.1164572178681,-13.2314936170561,3.43807337566288,3.25136571422243,-1.81575206722521,-2.95875558977333,4.46834525194634,2.01540477707861,7.29513312704966,-10.2625268029506,-3.71442831410056,-6.40831895946166,4.5376451935637,-1.28609888113744,1.6762665334667,4.07783536575714,7.85541833095646,-6.52609060183408,2.49235512193432,-7.1171122659347,-3.6599854329387,-8.27635370175193,-9.83771358411824,0.343664829802881,2.65192215259787,-2.50124327526408,-2.05401846459643,4.34679046777771,-5.11175953306059,-3.4846506529519,2.40580735864143,-6.83538826052911,0.298674063254076,-7.33635906385896,-7.35142086259107,1.76760547815279,8.70620937802299,0.217587852903959,-9.61820793282625,5.6720966546233,12.1836573077588,9.75263713978736,-9.68772897723535,-3.79548575350105,-15.5418345038569,3.45359161359716,-11.5324384666013,3.34742923573039,-4.2695043232893
