C1R,AK4,ATP1B1,SNHG14,TIMP2,ARPC4,OSMR,TK1,PYGL,ETNK2,FOXM1,SLC6A8,OLFM1,RPL36,TRIB3,ARF3,HBB,COL3A1,ZFP36L1,RACK1,IQSEC1,DLL3,VOPP1,RPS27,CDK2AP1,HLA.A,HLA.DRA,NACA,RPL37A,ADGRG1,NTRK3,TNFRSF12A,GFAP,CCNA2,LBH,SERINC1,TXLNB,DDR1,MCM2,AURKA,TYROBP,BCL9L,SCG3,CA12,RTN3,MELK,PFN2,POSTN,S100A10,KNSTRN,HEPACAM,TSPAN3,MT2A,PLTP,STEAP3,LIF,ACTB,MMP9,PPIB,GRIA4,UQCRH,FGFR3,GAP43,ATP1B3,STOM,LIMS1,FCER1G,SRGN,MYL12B,ANXA5,LAPTM4B,MT.ND5,CXCL2,FRMD6,ATP5MD,YWHAB,TSC22D1,CDC20,CLUH,JUN,TAGLN3,MYL12A,EMP3,AKAP12,GAS5,ANP32E,NDRG2,RPL7,KCNF1,APC,PLOD3,SLC39A14,NPDC1,GNG3,AHNAK,RPS20,APOLD1,MICALL2,TRIB2,APOD
C1R,2.36310539251751,-0.684170207573145,0.254390001559335,4.82931753660909,2.79132008824038,-2.71088549842391,-4.69957099710202,2.07373209580074,4.47959154949417,0.927424613168267,2.38251742553523,-1.48811155383892,-2.18104698205792,3.19093322729149,-5.6057194329635,-0.0508063911347356,-1.28694069920812,-4.7444052574325,-3.90979781026801,-0.562676400549337,1.71965385035879,2.80144522468364,3.15333132924242,0.424362336675722,-0.226238763076397,-2.56571751154114,0.657456893017025,0.00230678983983052,1.87060776771252,-0.901844412666015,3.54491704521256,-1.5989703093969,-3.01926486320508,-5.15622829558401,-1.1582238197602,-1.91832217643326,-0.176543476346817,-0.721129694669385,3.25719179867468,-0.130295307187833,-6.95685102132902,-7.42700588417569,1.48117460273579,-1.61402383793745,1.92402432359497,0.224707745638323,-0.473343492952292,-4.24161957215539,2.85881374193026,-3.77731885590788,0.28686942797676,-2.64842466172484,-4.74936893192197,-1.19283832078312,-0.672280449984115,3.89428259358031,1.23111145699273,-2.15289548646359,2.46577044695531,2.93490090977134,1.61311313174512,-3.80929800134758,-0.678123282697659,-0.0125949381541113,1.8557304580037,3.33058310852757,0.190903626179435,-3.17190439586537,2.29015628068716,0.578708238594946,-3.33789478031765,-2.2964380340909,1.4853380504636,-2.63322131597831,-1.0723900011238,-0.580616222090212,-3.38030972956922,2.11552104294835,-0.201325884128234,-0.976268509436385,1.7208924596068,-2.5315497699292,0.459505393546676,-3.52624203817488,0.000177487344416231,-4.08585254689653,0.325776356645143,-1.81041816578869,0.360618386064244,1.50525261127947,2.00969237461338,3.28294268162319,0.813621336299528,-0.889503821541726,-0.410043523765112,-0.408586722045231,-2.75560590892074,-1.31720140201917,3.58997360559505,1.465315971907
AK4,-0.684170207573136,2.31852336867146,-1.27169982999574,2.48568408355402,1.53387478337588,-1.0698507945611,-0.500194097247014,-2.555339161579,0.448237180111898,-1.16389407492036,1.91822100740875,-2.55654055161044,-0.0723211986263784,0.441772916560195,-4.47587283112231,2.65469561205702,0.231328181152143,-2.09706010629785,0.118304858935564,-0.443170827201204,-0.88736895310452,-1.04649147627132,-0.851297738055771,2.63830882374195,-0.916689950762358,-3.33749798388016,0.789558709913986,-4.82084480450791,1.09075761933333,-1.91228937714649,1.62534752864573,3.66354624388649,0.0889800706335521,1.86017321139906,0.902005566836459,1.32846431371056,2.50014073558637,0.175209943726263,-1.36710291981676,4.08476307563863,-2.08438096180508,-2.24727247013455,0.414107319641079,1.86266168379649,2.15243515219765,-0.884874267084663,3.30549729010751,-0.642977645489359,-0.792506023938866,1.48153614915742,-1.69168794071299,-0.459440170769433,-3.42235896997631,1.72980959550978,1.07925662783075,3.28837384882912,-1.11868747583337,-0.370814562991646,3.54827417073839,5.58496809406085,-2.206109339009,-0.490165715226678,-0.0243380079924404,0.741386545684746,-1.68342782404535,-1.14397196484832,-0.738959578438028,1.4308542713387,1.0986988040579,0.541625863243032,0.57580175519921,2.8644790072686,-0.109922857897194,-3.08411448441161,1.01453441307004,2.29164746241776,-2.8620021517762,-1.72736728139972,0.778462653390761,2.08795934093343,0.182807758153468,-2.6851100552921,-1.32845072823222,1.135544408665,-1.0853104802862,-4.51930944170201,1.22423304181681,-1.16202590986253,2.00123357352185,1.27757018351561,3.06433387262311,2.17534061058925,3.14069896133152,2.7164366967511,-3.35096219598115,-0.110209130833747,-3.21041539180107,-2.43072898140351,2.2993058465781,1.91860728595325
ATP1B1,0.254390001559332,-1.27169982999573,-1.10996328743234,-3.2401609434823,-0.405373808095611,-0.973461928027077,0.0318898961055719,2.76392352129856,-3.44042062656501,2.87185654633848,1.48991645346007,-0.220348084322123,0.353390772109402,0.411886879174988,6.43694484415436,-2.75854585153827,-0.565573726487133,1.57583656433952,-0.24472856008773,-1.36848148689388,-2.61178288928273,-0.497642422779082,-2.49524057631333,-1.49250523287079,-3.18717332638947,-0.481111129466308,-0.809155043143384,0.0168195182670105,-0.155001384245735,1.40604280473139,-2.53537312064756,-3.22933519224537,0.652922004598303,2.14372340716425,2.63199805735573,1.78675290719444,-0.633122299965377,-0.748793861334857,-0.618594754424084,0.665900391757558,2.37770131764683,0.629303425855358,-6.13058219316136,2.63788106950984,0.178147976648675,-1.0596440598665,-1.14601214846781,0.991281492889412,-1.1359096108609,3.03725827867874,0.339503880935909,-0.850669892629919,2.83395425066254,0.390976539119072,-0.343353489232008,-3.12925528095047,-0.325010045135498,1.42244805010939,0.083931951238223,-0.70628506966442,-1.59684758113556,0.166441502743821,-1.64857895264309,2.18256305867293,-0.306036653971083,1.02052180090164,-0.644091278999662,-0.703308256257917,1.79239825275321,0.887603736952279,-0.261074096069092,-0.31443312968807,-1.68025639029817,-1.28151172949363,0.427428244033703,4.24409888650066,0.683932412778196,-2.76161209252427,0.623615223870714,-0.349022370632173,-0.417710195100647,-0.511569211846642,-0.783999093382951,-1.25155589229015,1.84098004658297,1.8929735722793,-0.256642679318968,1.16574908721522,-2.72731543059031,-2.0481697507194,0.388574221546592,1.05050501571415,1.41768128889853,1.56664394948166,2.36358164655679,1.07409092449122,2.72012442128112,0.537612539652796,-0.639481576006303,-2.53586936818317
SNHG14,4.82931753660908,2.48568408355403,-3.24016094348229,-3.98160025399648,-2.4069487685257,0.718607400369414,-0.89643545195297,6.34913460804996,0.791316463284566,1.69134144345478,-1.01750453902051,2.10930179266096,-0.3949444341585,1.62816874627688,6.90485102630331,-6.56652225096937,0.55716880136707,-2.23840681120244,-0.368449332683232,-4.07094510030433,1.10491293757549,1.42425691617104,-0.358757065478265,-1.01664409123429,-7.64227967439806,2.34861809689581,2.78992313256386,2.77853198435264,-3.04353736851733,5.17325626617231,-4.18772031439397,-5.11127328902992,1.4329426565397,-1.0102812721584,2.33667331239992,0.300301494029011,-2.42343257284095,-0.269254510659221,0.829724163278978,-3.95203486543152,1.98572265624195,-0.662445830833204,-5.11355431290172,-5.21766704893437,-6.97674951679488,3.05634880344095,-2.53541736934503,1.79629102263736,-3.82373440512553,-3.7806276281361,-0.662605428626967,0.389667309544653,0.628658934986416,1.77966739543348,3.37767520145544,-2.97950815786686,1.10029889994822,-3.62604619903815,-1.32117510666639,0.81216653749099,3.06533703712792,-1.19414833771733,1.60359954676265,3.23864316187827,2.7498794937559,-1.06831309872678,-2.95503789879248,0.729393611800139,2.57713473273079,1.77828460175488,-1.82408679257405,-4.93612923325784,-2.729864948116,2.10063921118728,-3.684236163703,0.299683029160419,-1.54928849513827,-0.300610328586673,0.221215729265427,-2.94601676735679,0.500160982252052,-1.19107642010383,3.2370240587628,-1.54911843660792,4.5209392936221,2.6404822848031,1.53049381791849,1.98141195898232,-1.17995372871197,0.946501806045428,0.329283523907783,-3.10002215374557,-1.07856115625678,-0.873405314472102,2.84166025308356,1.64154523055914,4.85916316660643,2.50279047317939,1.05846239058284,-6.41592269344175
TIMP2,2.7913200882404,1.53387478337589,-0.405373808095602,-2.4069487685257,-2.84258644164477,-0.671693879147771,-2.60869696134878,-0.0694142971557636,1.95944804221958,-0.73624482140509,0.482572124485454,-0.988823345334861,3.75009076357053,3.7434209891886,2.53186668693845,-3.09647663745336,-1.78586241329619,-1.72632705521801,-2.12658822864484,-6.46980062130696,1.90843177415191,-2.62727726575966,-1.60507350364105,2.35608800785038,-6.38811153844324,1.23096328949198,2.27643441822063,-1.66547058111911,-1.30718013956847,6.04589045089583,-3.7473645457108,-2.13651098380333,3.91154096408845,3.24761542305286,5.59209343290273,3.2562471672187,0.181174297229364,-3.65548677103737,-1.98582026877363,-1.9099343047834,-0.77869050977183,2.95984626239852,-3.33244137708459,-0.216482342235347,-4.64794735344645,-0.0471499185153269,0.639825650258018,0.360223807725097,-7.98588656931617,0.88425777184111,-3.2258544493291,-0.683687399426101,1.27894907965781,3.63173346907889,2.12707169404484,-3.45470147484087,-0.603918094305242,-2.03408118666033,2.25737667401545,1.03236046526881,2.23281421829068,1.88200007128906,-1.12233614522508,-0.468089161844853,2.87008042323226,-1.39180868801557,-4.23495537369892,-0.0564770865403512,-0.294797886901445,4.30736503026867,-0.520607884037372,-0.539210341891746,0.501540309003318,1.64806189321089,-0.116654163855126,0.898166062600545,-1.68728294038539,0.958870588274597,0.316609002113099,1.62456903361628,-0.0508380725901279,2.49210128796291,1.15236006290012,-1.30085054334009,-0.0438378789422313,1.0939024662793,1.04110191603222,1.69513353601759,0.77837720455008,0.931637896846139,2.99384130504446,-0.579792695501441,0.071971805925009,1.42490219621197,-0.157335273757115,1.30587052710556,-1.13093610057228,-0.488485886315929,1.78806315648646,-2.53421542816649
ARPC4,-2.71088549842394,-1.06985079456113,-0.973461928027082,0.718607400369418,-0.671693879147789,7.37269791864237,0.342309898899945,-3.21629033675046,-1.07077766843088,0.0736866815333371,-5.32680535977494,-0.70695107153295,5.68464163597681,-5.4080076058957,3.54309370474318,-7.3759854423143,0.94267370165455,2.13123637480084,2.79144471558967,-0.166183586782193,1.72095543604992,5.60287263145875,3.96871351299568,-1.91772128821734,-3.41539045884712,9.44409418324957,-5.88691797109777,-1.71032884144122,-2.11804971810203,0.312877298912389,-2.41935196105586,-5.33994817251473,-0.302520489434244,-1.02983187020288,2.57352254520902,-1.75348346249518,3.05765989552243,1.61387327619675,2.5443379955275,-3.92193857999048,10.9650103908552,6.20954254324809,-1.65924757264725,-1.37573914701155,0.964998629947162,3.31942177082838,-3.59709495285131,4.45382222371736,-0.769307679499684,0.0265206314823413,-6.72986681506794,0.422650399575715,3.21630378773709,-3.57831862001949,-2.17334857311559,-2.73758626746073,-2.06934095440434,-6.05823933609219,2.12556274559105,-4.55586092753102,3.40842770834048,-0.141972531535501,5.23500586739703,-3.56091233211217,4.37103851184262,-0.722188411411621,4.96340223464096,-0.704713014690761,-4.15281269140837,2.95306038138682,5.25204322265313,-2.24795828962137,1.0868656163248,2.3168240412165,-4.79305009150049,0.0419046148335179,-1.35255083619367,5.28845279917167,1.25525100379574,4.45765067025651,1.40748402122604,5.61221918779714,-2.5067171303717,2.42431705272399,1.820893474751,5.75061938292593,1.16005788847609,2.74352323123259,1.00428460443349,-3.58734237769847,-0.736316456397306,-0.43247186429958,-5.50499091345944,0.97386115031305,3.27864432614845,-3.04748878044962,2.31198294813447,1.79324974777281,-4.93156646335741,1.1243895873923
OSMR,-4.69957099710203,-0.500194097247023,0.0318898961055532,-0.89643545195298,-2.60869696134881,0.342309898899945,0.813811643699947,-0.603570240952089,-4.17278034300771,2.72653899789064,-4.62203004935611,0.495855279842792,2.48986508932167,-9.59777533917745,0.33240694443707,1.03613529405766,2.3510147114138,-0.264013375620744,4.3849703144048,0.331091604984482,-2.05769499070098,3.13918502964567,0.0451796305836225,-0.113335356548597,4.38575662878216,2.96598166213919,-1.39632867533511,-5.20376651475148,-3.8753218193878,-3.20253248434731,-2.0179770294197,-2.22328443869031,-0.19002901597398,-1.00588542296108,-3.95058281821871,0.2936755277922,1.84130778535487,5.5522784760347,-0.813098814107718,0.51240662689936,5.11917234826331,3.03614796850979,5.00818318896216,-0.332360222872358,6.16450676640856,3.71823028566795,-2.93569204835523,2.52690744883536,0.0732822134695849,0.133826730039368,-0.823792059861022,-2.03510440392734,4.34648536432314,-1.90430277951602,-0.355791020959417,-5.21059835077411,-3.32069061223321,-0.0614501474240366,-0.658702431841501,-4.77454135845589,-1.07997965075631,3.06754618486478,-2.36646048115712,-2.61509477510101,-3.6491974659562,-2.35944211093702,3.25191533115948,-0.212342558370314,-5.52820335901709,-1.27721185093472,1.86569143219084,1.62275272286887,-2.4786917371698,-1.48465445879235,-2.12562125043927,0.313589069414317,7.90313942397844,-6.22521326280992,3.09501881598746,4.19345602588599,-2.81766848697098,2.49434600697614,-2.13762220346719,0.598544641679427,-1.70185412373431,3.69212179076871,-1.82247791407229,-3.17996690145034,-1.79448932230357,-0.0164921338332314,-1.72321858464747,-1.92527305177961,-0.0186495401352715,3.73541078633244,1.93167750106581,-0.947631120730764,2.32752602859114,0.459985535524881,-4.6323270964073,0.323162668799149
TK1,2.07373209580077,-2.55533916157901,2.76392352129856,6.34913460804998,-0.0694142971557751,-3.21629033675043,-0.603570240952082,4.11981836738042,2.13492886463303,-0.645288585163659,2.2478427494835,-0.937362532888545,-1.47126568969217,4.64796871439075,-0.105998445616833,0.934620413651322,-0.29553325951957,-0.961518655855971,-2.49206925144463,0.709349828147455,-1.02830169947426,0.459783947258403,1.03417417488223,-0.902033518863538,0.12512403938132,-1.77658992913636,0.196137384580744,-1.7694462144982,4.01082911405232,-3.96125711544983,2.4202887309157,-1.74526102901767,-0.742917545585907,1.09332162400298,0.870731910706781,-1.05135309877399,0.672154500584662,-2.9944825549413,1.15904415085063,3.18404897447901,-7.35793444703446,-4.95289723079432,-0.111467064828528,1.35230575133745,1.9297503688702,-0.4936753999886,0.479630579002409,-3.63821026089058,0.851359981094627,0.130967138692803,1.08234234494089,-5.00202655365854,-3.67492025495719,-1.34047255037693,-0.184908745235215,3.37724769634258,-2.58264720218838,-2.93593830877406,0.813259358189179,3.24277682235917,0.976708995731907,-7.55561091240795,1.53216112139348,-0.844651960255299,2.91581132128012,4.37693414618598,-2.62557772459791,-0.964128936797027,0.50874927692492,3.91116630258835,-0.640727364453332,-1.40202469147105,-0.15866225724196,-2.89099178203483,2.49936268907545,1.9603075527769,-1.95745118909875,3.30136514393549,-1.12128331128028,-4.13140012969341,0.375531114168505,-0.973491095739741,-1.10490565896078,-1.41503421192981,-2.25637972274426,-1.49963625649851,-2.27980353587108,0.871798339191127,1.24638037481809,1.50353393358604,2.24690943855806,3.23287945223774,-0.583957967930369,-2.86493264396999,-1.48806580118555,2.9369804614988,-3.49871462515964,-0.913147541979599,0.386708679788514,0.464029326416194
PYGL,4.47959154949417,0.448237180111913,-3.44042062656498,0.791316463284576,1.95944804221957,-1.07077766843088,-4.17278034300766,2.134928864633,9.68525589585674,-3.29416975991933,5.95461526907905,-4.08660295478875,-1.7178391563954,6.98186207623005,-2.14214102600177,0.279563945076521,-4.31511628118038,-1.42674635638906,-7.88643613500495,-5.18450049770463,2.63853555698771,-0.0936402273764495,1.41575536803061,6.71585040584604,-11.2159413293995,-1.66477114292262,0.626439785839492,0.323150197717754,-3.2376657025383,4.4370436286902,2.72488488134305,-1.92151359626576,1.39564092555317,-0.137321240207863,5.17968947520653,0.0308485299486167,-1.97921535787187,-2.06273033735512,4.69920711406121,-1.67320908718967,-5.42164302611191,-1.89925315407427,-2.06166813953565,-1.73825433684353,-8.99651112033616,-1.35933311150495,-0.824001338117104,-4.01088051165063,-4.3300820201282,-1.29858947499845,-3.82025306071583,5.129272972214,-4.86014269635816,3.77764876845551,2.71680893084458,3.14785698367837,1.23412375246944,-3.41776330837762,7.05074336369707,10.3049445803269,3.84375463111778,-1.8399993181485,3.64221990979279,3.09482158779578,8.40181481525791,-2.10522409212841,-3.35941195140398,-2.9728233687481,5.15676122967104,2.78322182268643,-4.142830419089,-3.98996721958315,3.21344939669095,-0.868037872046088,-0.878014267662297,3.84665972148481,-9.31164409457322,1.35693465751716,-1.1294438494058,-4.50543443720778,5.79987796930393,-5.64508893685817,3.56100673339827,-3.42704512816991,1.81393560147125,-3.56688775442189,5.93508488061014,7.1314636283101,1.82597454166673,0.365720146404517,7.92806809985145,1.76806171956406,-0.783451295622338,-1.29747065073132,-3.82265542272182,3.47914119304103,-5.16324943568835,-2.24713664723285,7.73554328928989,-3.81316652237325
ETNK2,0.92742461316826,-1.16389407492037,2.87185654633847,1.69134144345481,-0.736244821405072,0.0736866815333347,2.72653899789059,-0.645288585163638,-3.29416975991927,1.17637012945652,-4.49666630119368,3.52789770491717,-1.48869262132855,-0.877327349285907,4.83623724856978,-3.78727347696667,3.51991471685731,0.697567954068988,6.7871997647041,4.42403094092163,-0.172733534810941,3.95916615132598,-1.50637844757429,-4.72469437475662,3.42032381105038,4.23510045714476,1.09747361646439,-1.94017802241907,4.70529607372428,-4.57211004010876,-2.97854318766968,2.02612475339844,1.89727271821779,1.70392219003429,-0.770551882124213,-0.825965495107732,2.26087703411572,-0.219007693470403,-1.60062772659978,2.49651697501297,3.62687424636857,0.904320011717441,0.698877808757964,0.117144188670471,6.19475554646947,-0.879617148357236,-1.01360390066614,3.02984410897401,0.704598942830157,-1.17248936669019,0.330078418435246,-4.76680964052342,-0.340833485453917,-3.32208635418626,-1.12808466815376,0.523721538775877,-2.5791342197075,0.0828983122638129,-2.99481519356955,-7.27489996722416,-0.38659413330966,-1.45406807600522,0.842352292249286,-1.28927012885802,-0.274704005022399,0.745898125264048,3.04005252370067,2.8270234041518,-4.53088755461669,-3.5937903997301,2.78840473039499,2.335179646622,-2.88884303874959,2.8625406996492,-1.08179554059682,-2.44266845164403,5.11984305346069,3.69191309645561,0.315084162236919,1.88345699389988,-4.80118747171356,5.39265511096561,-1.32317430496866,5.63062814391974,-0.338851831545203,3.59942832602503,-3.93292122732803,-2.01629956162752,1.73829882003227,0.767663825920804,-5.03667141164058,-2.56306386019886,-3.41190220813014,1.25732580006522,2.10450688718647,-3.51747813436838,0.745771770308217,0.692353257924551,-5.21477748927538,2.78040744354487
